# Empty lines and lines starting from hashtag are ignored.

# Lua_name, Model_name, Knife_name, Skin_name, Skin_index, Are_daggers

# No skins
"csgo_bayonet", "csgo_bayonet", "Bayonet Knife", "noskin", 0, 0
"csgo_bowie", "csgo_bowie", "Bowie knife", "noskin", 0, 0
"csgo_butterfly", "csgo_butterfly", "Butterfly Knife", "noskin", 0, 0
"csgo_cssource", "csgo_cssource", "CS:Source Knife", "noskin", 0, 0
"csgo_daggers", "csgo_push", "Shadow Daggers", "noskin", 0, 1
"csgo_default_knife", "csgo_default", "Default CT Knife", "noskin", 0, 0
"csgo_default_t", "csgo_default_t", "Default T Knife", "noskin", 0, 0
"csgo_falchion", "csgo_falchion", "Falchion Knife", "noskin", 0, 0
"csgo_flip", "csgo_flip", "Flip Knife", "noskin", 0, 0
"csgo_gut", "csgo_gut", "Gut Knife", "noskin", 0, 0
"csgo_huntsman", "csgo_tactical", "Huntsman Knife", "noskin", 0, 0
"csgo_karambit", "csgo_karambit", "Karambit Knife", "noskin", 0, 0
"csgo_m9", "csgo_m9", "M9 Bayonet Knife", "noskin", 0, 0

# Default
"csgo_default_golden", "csgo_default", "Default CT Knife", "Golden", 1, 0
"csgo_default_t_golden", "csgo_default_t", "Default T Knife", "Golden", 1, 0

# Bayonet
"csgo_bayonet_bluesteel", "csgo_bayonet", "Bayonet Knife", "Blue Steel", 11, 0
"csgo_bayonet_boreal", "csgo_bayonet", "Bayonet Knife", "Boreal Forest", 1, 0
"csgo_bayonet_case", "csgo_bayonet", "Bayonet Knife", "Case Hardened", 2, 0
"csgo_bayonet_crimsonwebs", "csgo_bayonet", "Bayonet Knife", "Crimson Webs", 3, 0
"csgo_bayonet_damascus", "csgo_bayonet", "Bayonet Knife", "Damascus Steel", 4, 0
"csgo_bayonet_ddpat", "csgo_bayonet", "Bayonet Knife", "Forest DDPAT", 5, 0
"csgo_bayonet_fade", "csgo_bayonet", "Bayonet Knife", "Fade", 6, 0
"csgo_bayonet_marblefade", "csgo_bayonet", "Bayonet Knife", "Marble Fade", 13, 0
"csgo_bayonet_night", "csgo_bayonet", "Bayonet Knife", "Night", 7, 0
"csgo_bayonet_rustcoat", "csgo_bayonet", "Bayonet Knife", "Rust Coat", 12, 0
"csgo_bayonet_slaughter", "csgo_bayonet", "Bayonet Knife", "Slaughter", 8, 0
"csgo_bayonet_tiger", "csgo_bayonet", "Bayonet Knife", "Tiger Tooth", 9, 0
"csgo_bayonet_ultraviolet", "csgo_bayonet", "Bayonet Knife", "Ultraviolet", 10, 0

# Bowie
"csgo_bowie_bluesteel", "csgo_bowie", "Bowie knife", "Blue Steel", 11, 0
"csgo_bowie_boreal", "csgo_bowie", "Bowie knife", "Boreal Forest", 1, 0
"csgo_bowie_case", "csgo_bowie", "Bowie knife", "Case Hardened", 2, 0
"csgo_bowie_crimsonwebs", "csgo_bowie", "Bowie knife", "Crimson Web", 9, 0
